# w, p, deltaHoeffdingNoiseless, deltaHoeffdingWithNoise
3.300000000000000155e-02	4.514400000000000079e-01	2.929687500000000000e-02	4.170628698961287295e-03	4.130112273590780259e-03	6.383303093931044780e-02
6.600000000000000311e-02	4.382800000000000029e-01	6.154378255208332871e-02	4.031395060486553383e-03	3.993594016494461663e-03	7.993937811600672350e-02
9.900000000000000466e-02	4.245800000000000129e-01	9.633382161458332871e-02	3.881911392556391949e-03	3.845578793934656403e-03	1.010408919904898367e-01
1.320000000000000062e-01	4.110599999999999810e-01	1.320190429687500000e-01	3.733711637027126162e-03	3.688624716762345379e-03	1.273331423633488890e-01
1.650000000000000078e-01	3.992899999999999783e-01	1.643473307291666574e-01	3.591343562578286353e-03	3.554544991802577325e-03	1.557098418540933116e-01
1.980000000000000093e-01	3.882599999999999940e-01	1.958007812500000000e-01	3.460215916830711169e-03	3.416705804393405099e-03	1.880396355989351620e-01
2.310000000000000109e-01	3.734799999999999787e-01	2.399902343750000000e-01	3.274360628542638540e-03	3.224685308971297903e-03	2.421167911153738750e-01
2.640000000000000124e-01	3.641499999999999737e-01	2.692871093750000000e-01	3.142501384907903095e-03	3.106019171140783630e-03	2.839775713640302901e-01
2.970000000000000417e-01	3.563600000000000101e-01	2.946573893229166297e-01	3.035292386759258498e-03	2.996280147978536146e-03	3.244429840606147808e-01
3.300000000000000155e-01	3.474400000000000266e-01	3.248697916666666297e-01	2.909838028886724270e-03	2.863380206214960477e-03	3.779083653635445517e-01
3.629999999999999893e-01	3.361199999999999743e-01	3.652954101562500000e-01	2.737065556887630091e-03	2.690462446984009937e-03	4.586148328769839022e-01
3.960000000000000187e-01	3.262100000000000000e-01	4.029337565104166297e-01	2.574831594615190067e-03	2.530840884456930784e-03	5.433009144405578361e-01
4.290000000000000480e-01	3.221300000000000274e-01	4.191487630208333148e-01	2.502285400075521249e-03	2.464728239394142761e-03	5.825672890704038931e-01
4.620000000000000218e-01	3.094199999999999728e-01	4.727986653645833148e-01	2.274238581434884221e-03	2.234000453226248073e-03	7.239881833499279828e-01
4.949999999999999956e-01	3.035499999999999865e-01	4.995117187500000000e-01	2.161133723641572857e-03	2.118674876391613005e-03	8.004221957724788616e-01
5.280000000000000249e-01	3.005099999999999993e-01	5.139160156250000000e-01	2.101520776085163966e-03	2.055112844727757793e-03	8.431127215633291705e-01
5.610000000000000542e-01	2.908999999999999919e-01	5.626017252604166297e-01	1.891651971934804610e-03	1.848657178151191793e-03	9.937083020313526305e-01
5.940000000000000835e-01	2.846799999999999886e-01	5.972290039062500000e-01	1.744096634089142839e-03	1.700105433181609005e-03	1.105213804201515160e+00
6.270000000000000018e-01	2.789599999999999858e-01	6.319580078125000000e-01	1.592765652740746329e-03	1.554459451917789004e-03	1.218834639875307158e+00
